student_id,gpa,interests,major,interest_alignment,predicted_gpa,progress_score,recommended_courses
S000,3.34,"['AI', 'Core']",AI Engineering,0.5,3.275617722628751,0.9375,"AI402, CS401, SEC301, SEC401"
S001,0.0,"['AI', 'Data Science']",AI Engineering,0.0,1.9800670455915013,0.25,"CS101, MATH101"
S002,2.91,"['AI', 'Systems']",AI Engineering,0.0,3.015067655658713,0.25,CS101
S003,0.0,"['Data Science', 'Security']",Data Science,0.0,1.9554091314052964,0.25,"CS101, MATH101"
S004,3.63,"['Data Science', 'Core']",Computer Science,0.0,3.209711985834657,0.875,"AI402, SEC401, SEC301, AI301"
S005,2.4,"['AI', 'Security']",AI Engineering,0.0,2.344891061279341,0.375,"CS201, MATH101"
S006,3.82,"['Data Science', 'Systems']",Data Science,0.0,3.717310904540521,0.375,"CS201, MATH101"
S007,0.0,"['Security', 'AI']",Cyber Security,0.0,1.8020402556466477,0.25,"CS101, MATH101"
S008,3.44,"['Data Science', 'Core']",Computer Science,0.0,3.0990677351658764,0.6875,"MATH101, AI402, SEC301, ELEC2"
S009,2.98,"['Data Science', 'Systems']",Data Science,0.5,2.9306711141038506,0.8125,"DS201, ELEC1, SEC401, CS401"
S010,2.92,"['AI', 'Core']",AI Engineering,0.0,2.671420172421415,0.8333333333333334,"SEC401, ELEC1, ELEC2"
S011,3.75,"['Security', 'Core']",Cyber Security,0.75,3.7485326671408163,0.75,"SEC301, ELEC2, CS301, ELEC1"
S012,3.71,"['Data Science', 'Security']",Computer Science,0.0,3.5370705099953437,0.375,"CS201, MATH101"
S013,0.0,"['AI', 'Data Science']",AI Engineering,0.0,1.866961936685474,0.25,"CS101, MATH101"
S014,3.48,"['Security', 'Core']",Cyber Security,0.5,3.35210104884876,0.9375,"SEC401, CS401, AI402, AI301"
S015,2.75,"['Security', 'AI']",Cyber Security,0.0,2.654599145223457,0.25,CS101
S016,0.0,"['Data Science', 'AI']",Computer Science,0.0,1.866961936685474,0.25,"CS101, MATH101"
S017,3.7,"['Data Science', 'Security']",Data Science,0.0,3.543075631938403,0.375,"CS101, MATH201"
S018,2.21,"['Data Science', 'Security']",Data Science,0.75,2.5261037352983644,0.875,"SEC401, SEC301, ELEC2, CS401"
S019,2.5,"['AI', 'Security']",AI Engineering,0.0,2.398808993930798,0.25,CS101
S020,0.0,"['Data Science', 'Security']",Computer Science,0.0,1.886496605754871,0.25,"CS101, MATH101"
S021,3.12,"['Core', 'Data Science']",Computer Science,0.5,3.4859410416824925,0.375,"CS201, MATH101"
S022,0.0,"['AI', 'Data Science']",AI Engineering,0.0,1.9047933351568438,0.25,"CS101, MATH101"
S023,2.28,"['Security', 'AI']",Cyber Security,0.0,2.310962712509724,0.25,CS101
S024,3.45,"['Systems', 'Core']",Computer Science,0.0,3.1209617116544814,0.5,"MATH101, AI301"
S025,0.0,"['Data Science', 'Systems']",Computer Science,0.0,2.0406751201933337,0.25,"CS101, MATH101"
S026,1.4,"['AI', 'Security']",AI Engineering,0.0,1.9589281545758874,0.375,"CS201, MATH101"
S027,3.11,"['AI', 'Systems']",AI Engineering,0.0,2.99129305158615,0.375,"CS201, MATH101"
S028,0.0,"['AI', 'Security']",AI Engineering,0.0,1.8020402556466477,0.25,"CS101, MATH101"
S029,3.53,"['Data Science', 'Core']",Data Science,0.0,3.236681857768286,0.875,"SEC401, AI401, AI301, SEC301"
S030,0.0,"['Systems', 'Data Science']",Computer Science,0.0,2.0621325602086364,0.25,"CS101, MATH101"
S031,0.0,"['Data Science', 'Security']",Computer Science,0.0,1.886496605754871,0.25,"CS101, MATH101"
S032,2.97,"['AI', 'Core']",AI Engineering,0.0,2.790427950877668,0.5833333333333334,"MATH201, DS201, SEC301"
